PS.UID	CAM	TIMECODE	ACTION.TYPE	GENDER	AGE.GROUP	DB.OPERATOR	COMMENT
1559	K2	2019-09-08 8:36:07	ballot cast	m	old	Alexei Kouprianov	Timecode corresponds to the moment the voter started throwing his first ballot into the box
1559	K2	2019-09-08 8:37:03	ballot cast	f	young	Alexei Kouprianov	
1559	K2	2019-09-08 8:38:28	ballot cast	f	old	Alexei Kouprianov	
1559	K2	2019-09-08 8:45:47	ballot cast	m	old	Alexei Kouprianov	
1559	K2	2019-09-08 8:50:58	ballot cast	f	old	Alexei Kouprianov	
1559	K2	2019-09-08 8:55:17	lacune begins			Alexei Kouprianov	At the beginning of the lacune a medium aged woman was in the polling booth; apparently she voted inbetween
1559	K2	2019-09-08 9:09:17	lacune ends			Alexei Kouprianov	Number of voters within the 15 min lacune is unknown
1559	K2	2019-09-08 9:11:54	ballot cast	f	medium	Alexei Kouprianov	While the old lady was in the rightmost polling booth, the woman in black was standing immediately to the right of the booth (it is not clear whether she communicated with the old lady in the booth or not but she was clearly under the sheets covering the booth). The old lady casts three (!) folded sheets of paper. A big one and two smaller ones.
1559	K2	2019-09-08 9:12:00	ballot cast	f	old	Alexei Kouprianov	While the old lady was in the rightmost polling booth, the woman in black was standing immediately to the right of the booth (it is not clear whether she communicated with the old lady in the booth or not but she was clearly under the sheets covering the booth). The old lady casts three (!) folded sheets of paper. A big one and two smaller ones.
1559	K2	2019-09-08 9:13:55	ballot cast	m	medium	Alexei Kouprianov	
1559	K2	2019-09-08 9:18:34	ballot cast	m	old	Alexei Kouprianov	
1559	K2	2019-09-08 9:23:00	ballot cast	m	medium	Alexei Kouprianov	One of the observers, tall, in black
1559	K2	2019-09-08 9:27:02	ballot cast	m	medium	Alexei Kouprianov	Police officer
1559	K2	2019-09-08 9:29:21	ballot cast	m	old	Alexei Kouprianov	
1559	K2	2019-09-08 9:31:23	ballot cast	f	old	Alexei Kouprianov	A kid throws the ballots for the old lady. Age proportions looks more likely a grandma and a grandson.
1559	K2	2019-09-08 9:34:53	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 9:37:49	ballot cast	m	young	Alexei Kouprianov	
1559	K2	2019-09-08 9:37:58	ballot cast	m	medium	Alexei Kouprianov	
1559	K2	2019-09-08 9:39:43	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 9:40:31	ballot cast	m	young	Alexei Kouprianov	
1559	K2	2019-09-08 9:42:20	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 9:47:20	ballot cast	f	young	Alexei Kouprianov	The woman tried to open the lid of the ballot box. An observer explained her about the hole and she put the ballots the right way.
1559	K2	2019-09-08 9:48:23	ballot cast	m	young	Alexei Kouprianov	
1559	K2	2019-09-08 9:53:26	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 9:53:46	ballot cast	f	old	Alexei Kouprianov	
1559	K2	2019-09-08 9:54:23	ballot cast	f	old	Alexei Kouprianov	
1559	K2	2019-09-08 9:54:35	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 9:54:56	ballot cast	f	young	Alexei Kouprianov	
1559	K2	2019-09-08 9:55:21	ballot cast	f	old	Alexei Kouprianov	
1559	K2	2019-09-08 9:55:42	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 9:56:45	ballot cast	m	medium	Alexei Kouprianov	
1559	K2	2019-09-08 9:57:07	ballot cast	f	young	Alexei Kouprianov	
1559	K2	2019-09-08 9:58:47	ballot cast	m	young	Alexei Kouprianov	
1559	K2	2019-09-08 9:59:45	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:03:16	ballot cast	f	old	Alexei Kouprianov	
1559	K2	2019-09-08 10:05:20	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:05:30	ballot cast	f	young	Alexei Kouprianov	
1559	K2	2019-09-08 10:09:20	ballot cast	m	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:13:00	ballot cast	m	old	Alexei Kouprianov	
1559	K2	2019-09-08 10:13:26	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:19:08	ballot cast	f	old	Alexei Kouprianov	
1559	K2	2019-09-08 10:20:49	ballot cast	m	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:20:55	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:24:41	ballot cast	f	old	Alexei Kouprianov	
1559	K2	2019-09-08 10:24:50	ballot cast	m	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:27:00	ballot cast	m	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:27:14	ballot cast	m	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:27:31	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:27:41	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:29:09	ballot cast	f	medium	Alexei Kouprianov	
1559	K2	2019-09-08 10:30:54	ballot cast	f	young	Alexei Kouprianov	
1559	K2	2019-09-08 10:39:01	ballot cast	f	medium	Alexei Kouprianov	
